fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-02-20,DL,DL,DL,480,DL,N834DN,480,10397,ATL,"Atlanta, GA",11292,DEN,"Denver, CO",1621,1618,-3,18,1636,1746,18,1752,1804,12,0,,0,N,211,226,190,1,1199,,,,,,,,,
2019-02-20,DL,DL,DL,719,DL,N103DU,719,12953,LGA,"New York, NY",11298,DFW,"Dallas/Fort Worth, TX",1729,2219,290,44,2303,143,4,2100,147,287,0,,0,N,271,268,220,1,1389,14,6,0,0,267,,,,
2019-02-20,DL,DL,DL,773,DL,N368NW,773,12953,LGA,"New York, NY",10397,ATL,"Atlanta, GA",1900,2057,117,40,2137,2359,19,2141,18,157,0,,0,N,161,201,142,1,762,0,0,40,0,117,,,,
2019-02-20,DL,DL,DL,779,DL,N368NB,779,10423,AUS,"Austin, TX",11433,DTW,"Detroit, MI",1258,1509,131,17,1526,1832,11,1655,1843,108,0,,0,N,177,154,126,1,1149,0,0,0,0,108,,,,
2019-02-20,DL,DL,DL,805,DL,N923DN,805,14986,SRQ,"Sarasota/Bradenton, FL",10397,ATL,"Atlanta, GA",1457,1451,-6,15,1506,1617,13,1642,1630,-12,0,,0,N,105,99,71,1,444,,,,,,,,,
2019-02-20,DL,DL,DL,852,DL,N339NB,852,11298,DFW,"Dallas/Fort Worth, TX",10397,ATL,"Atlanta, GA",1650,1710,20,13,1723,2000,12,1957,2012,15,0,,0,N,127,122,97,1,731,4,0,0,0,11,,,,
2019-02-20,DL,DL,DL,875,DL,N951DN,875,14986,SRQ,"Sarasota/Bradenton, FL",10397,ATL,"Atlanta, GA",1846,2114,148,13,2127,2248,13,2029,2301,152,0,,0,N,103,107,81,1,444,148,0,4,0,0,,,,
2019-02-20,DL,DL,DL,1205,DL,N593NW,1205,13204,MCO,"Orlando, FL",10397,ATL,"Atlanta, GA",720,717,-3,41,758,909,10,908,919,11,0,,0,N,108,122,71,1,404,,,,,,,,,
2019-02-20,DL,DL,DL,1237,DL,N6709,1237,15304,TPA,"Tampa, FL",10397,ATL,"Atlanta, GA",810,809,-1,34,843,949,11,950,1000,10,0,,0,N,100,111,66,1,406,,,,,,,,,
2019-02-20,DL,DL,DL,1293,DL,N373DA,1293,10397,ATL,"Atlanta, GA",15323,TRI,"Bristol/Johnson City/Kingsport, TN",1903,1952,49,51,2043,2116,3,2010,2119,69,0,,0,N,67,87,33,1,227,30,0,39,0,0,,,,
2019-02-20,DL,DL,DL,1309,DL,N904DL,1309,14100,PHL,"Philadelphia, PA",10397,ATL,"Atlanta, GA",1759,1849,50,56,1945,2149,8,2024,2157,93,0,,0,N,145,188,124,1,666,0,0,43,0,50,,,,
2019-02-20,AS,AS_CODESHARE,AS,2083,QX,N402QX,2083,14057,PDX,"Portland, OR",14489,RDM,"Bend/Redmond, OR",1550,1550,0,7,1557,1625,4,1630,1629,-1,0,,0,N,40,39,28,1,116,,,,,,,,,
2019-02-20,AS,AS_CODESHARE,AS,2312,QX,N623QX,2312,14908,SNA,"Santa Ana, CA",15023,STS,"Santa Rosa, CA",1205,1227,22,20,1247,1409,4,1350,1413,23,0,,0,N,105,106,82,1,433,0,0,1,0,22,,,,
2019-02-20,AS,AS_CODESHARE,AS,2587,QX,N430QX,2587,14747,SEA,"Seattle, WA",11603,EUG,"Eugene, OR",1335,1334,-1,10,1344,1433,3,1440,1436,-4,0,,0,N,65,62,49,1,234,,,,,,,,,
2019-02-20,UA,UA_CODESHARE,UA,5276,OO,N939SW,5276,10157,ACV,"Arcata/Eureka, CA",14771,SFO,"San Francisco, CA",600,552,-8,11,603,646,4,717,650,-27,0,,0,N,77,58,43,1,250,,,,,,,,,
2019-02-20,UA,UA_CODESHARE,UA,5353,OO,N788SK,5353,12266,IAH,"Houston, TX",13342,MKE,"Milwaukee, WI",1805,1806,1,34,1840,2033,16,2044,2049,5,0,,0,N,159,163,113,1,984,,,,,,,,,
2019-02-20,UA,UA_CODESHARE,UA,5593,OO,N788SK,5593,12266,IAH,"Houston, TX",10693,BNA,"Nashville, TN",1210,1208,-2,24,1232,1355,8,1407,1403,-4,0,,0,N,117,115,83,1,657,,,,,,,,,
2019-02-20,UA,UA_CODESHARE,UA,5667,OO,N937SW,5667,14698,SBP,"San Luis Obispo, CA",14771,SFO,"San Francisco, CA",640,631,-9,16,647,728,40,754,808,14,0,,0,N,74,97,41,1,190,,,,,,,,,
2019-02-20,UA,UA_CODESHARE,UA,5714,OO,N208SY,5714,14771,SFO,"San Francisco, CA",14698,SBP,"San Luis Obispo, CA",2251,2245,-6,38,2323,2356,4,2358,2400,2,0,,0,N,67,75,33,1,190,,,,,,,,,
2019-02-21,AA,AA,AA,261,AA,N976AN,261,11298,DFW,"Dallas/Fort Worth, TX",15016,STL,"St. Louis, MO",710,,,,,,,851,,,1,A,0,N,101,,,1,550,,,,,,,,,
2019-02-21,AA,AA,AA,307,AA,N114NN,307,12892,LAX,"Los Angeles, CA",12478,JFK,"New York, NY",800,752,-8,12,804,1525,6,1622,1531,-51,0,,0,N,322,279,261,1,2475,,,,,,,,,
2019-02-21,AA,AA,AA,352,AA,N813NN,352,11298,DFW,"Dallas/Fort Worth, TX",14831,SJC,"San Jose, CA",1045,1058,13,57,1155,1315,3,1245,1318,33,0,,0,N,240,260,200,1,1438,2,0,20,0,11,,,,
2019-02-21,AA,AA,AA,1398,AA,N125AA,1398,11298,DFW,"Dallas/Fort Worth, TX",12892,LAX,"Los Angeles, CA",2125,2202,37,15,2217,2313,9,2257,2322,25,0,,0,N,212,200,176,1,1235,0,0,0,0,25,,,,
2019-02-21,AA,AA,AA,1404,AA,N190AA,1404,13303,MIA,"Miami, FL",14100,PHL,"Philadelphia, PA",900,859,-1,24,923,1138,5,1149,1143,-6,0,,0,N,169,164,135,1,1013,,,,,,,,,
2019-02-21,AA,AA_CODESHARE,AA,4961,PT,N906AE,4961,11057,CLT,"Charlotte, NC",11699,FLO,"Florence, SC",1106,1110,4,14,1124,1157,8,1157,1205,8,0,,0,N,51,55,33,1,99,,,,,,,,,
2019-02-21,DL,DL_CODESHARE,DL,5025,9E,N349PQ,5025,11066,CMH,"Columbus, OH",13487,MSP,"Minneapolis, MN",1802,1817,15,12,1829,1908,13,1929,1921,-8,0,,0,N,147,124,99,1,626,,,,,,,,,
2019-02-21,DL,DL_CODESHARE,DL,5027,9E,N908XJ,5027,10397,ATL,"Atlanta, GA",10408,ATW,"Appleton, WI",1455,1520,25,18,1538,1626,5,1615,1631,16,0,,0,N,140,131,108,1,765,0,0,0,0,16,,,,
2019-02-21,DL,DL_CODESHARE,DL,5454,9E,N228PQ,5454,10135,ABE,"Allentown/Bethlehem/Easton, PA",10397,ATL,"Atlanta, GA",1310,1350,40,10,1400,1553,9,1524,1602,38,0,,0,N,134,132,113,1,692,0,0,0,0,38,,,,
2019-02-21,AA,AA_CODESHARE,AA,5030,OH,N256PS,5030,11278,DCA,"Washington, DC",14576,ROC,"Rochester, NY",959,,,,,,,1120,,,1,A,0,N,81,,,1,296,,,,,,,,,
2019-02-21,AA,AA_CODESHARE,AA,5281,OH,N564NN,5281,11057,CLT,"Charlotte, NC",10868,CAE,"Columbia, SC",1553,1610,17,15,1625,1646,3,1640,1649,9,0,,0,N,47,39,21,1,88,,,,,,,,,
2019-02-21,AA,AA_CODESHARE,AA,3929,MQ,N667GB,3929,13485,MSN,"Madison, WI",13930,ORD,"Chicago, IL",1608,1606,-2,21,1627,1656,14,1709,1710,1,0,,0,N,61,64,29,1,109,,,,,,,,,
2019-02-21,AA,AA_CODESHARE,AA,3932,MQ,N805AE,3932,11298,DFW,"Dallas/Fort Worth, TX",10136,ABI,"Abilene, TX",1839,1859,20,10,1909,1941,4,1934,1945,11,0,,0,N,55,46,32,1,158,,,,,,,,,
2019-02-21,G4,G4,G4,814,G4,325NV,814,14112,PIE,"St. Petersburg, FL",14492,RDU,"Raleigh/Durham, NC",1245,1232,-13,21,1253,1418,7,1431,1425,-6,0,,0,N,106,113,85,1,595,,,,,,,,,
2019-02-21,G4,G4,G4,2182,G4,310NV,2182,14761,SFB,"Sanford, FL",11986,GRR,"Grand Rapids, MI",615,614,-1,13,627,844,11,857,855,-2,0,,0,N,162,161,137,1,1001,,,,,,,,,
2019-02-21,G4,G4,G4,60,G4,334NV,60,12889,LAS,"Las Vegas, NV",11775,FSD,"Sioux Falls, SD",730,902,92,86,1028,1435,9,1208,1444,156,0,,0,N,158,222,127,1,1104,0,92,64,0,0,,,,
2019-02-21,AA,AA,AA,1228,AA,N989AU,1228,13303,MIA,"Miami, FL",12892,LAX,"Los Angeles, CA",840,836,-4,17,853,1113,5,1141,1118,-23,0,,0,N,361,342,320,1,2342,,,,,,,,,
2019-02-21,AA,AA,AA,1291,AA,N917NN,1291,11298,DFW,"Dallas/Fort Worth, TX",12264,IAD,"Washington, DC",2030,2037,7,14,2051,2358,5,11,3,-8,0,,0,N,161,146,127,1,1172,,,,,,,,,
2019-02-21,DL,DL_CODESHARE,DL,5151,9E,N181PQ,5151,11433,DTW,"Detroit, MI",10792,BUF,"Buffalo, NY",2220,2213,-7,18,2231,2312,6,2333,2318,-15,0,,0,N,73,65,41,1,241,,,,,,,,,
2019-02-21,DL,DL_CODESHARE,DL,5264,9E,N303PQ,5264,13871,OMA,"Omaha, NE",12953,LGA,"New York, NY",1811,1808,-3,13,1821,2127,9,2159,2136,-23,0,,0,N,168,148,126,1,1148,,,,,,,,,
2019-02-21,DL,DL_CODESHARE,DL,5339,9E,N904XJ,5339,12953,LGA,"New York, NY",10868,CAE,"Columbia, SC",2140,2136,-4,21,2157,2335,4,2358,2339,-19,0,,0,N,138,123,98,1,617,,,,,,,,,
2019-02-21,DL,DL_CODESHARE,DL,5396,9E,N913XJ,5396,13487,MSP,"Minneapolis, MN",12339,IND,"Indianapolis, IN",720,720,0,47,807,1017,3,1024,1020,-4,0,,0,N,124,120,70,1,503,,,,,,,,,
2019-02-21,DL,DL_CODESHARE,DL,3281,9E,N186PQ,3281,10397,ATL,"Atlanta, GA",15249,TLH,"Tallahassee, FL",1109,,,,,,,1219,,,1,A,0,N,70,,,1,223,,,,,,,,,
2019-02-21,AA,AA_CODESHARE,AA,5665,OH,N583NN,5665,11057,CLT,"Charlotte, NC",12323,ILM,"Wilmington, NC",1257,1257,0,8,1305,1339,3,1355,1342,-13,0,,0,N,58,45,34,1,185,,,,,,,,,
2019-02-21,AS,AS_CODESHARE,AS,2236,QX,N430QX,2236,14489,RDM,"Bend/Redmond, OR",14057,PDX,"Portland, OR",1320,1324,4,8,1332,1401,5,1400,1406,6,0,,0,N,40,42,29,1,116,,,,,,,,,
2019-02-21,AS,AS_CODESHARE,AS,2618,QX,N448QX,2618,14893,SMF,"Sacramento, CA",14057,PDX,"Portland, OR",1030,1027,-3,12,1039,1228,4,1215,1232,17,0,,0,N,105,125,109,1,479,0,0,17,0,0,,,,
2019-02-21,UA,UA_CODESHARE,UA,5927,OO,N145SY,5927,14771,SFO,"San Francisco, CA",13487,MSP,"Minneapolis, MN",1745,1740,-5,38,1818,2330,5,2333,2335,2,0,,0,N,228,235,192,1,1589,,,,,,,,,
2019-02-21,DL,DL_CODESHARE,DL,7362,OO,N675BR,7362,13459,MQT,"Marquette, MI",13487,MSP,"Minneapolis, MN",708,706,-2,35,741,745,7,752,752,0,0,,0,N,104,106,64,1,300,,,,,,,,,
2019-02-21,AA,AA_CODESHARE,AA,2958,OO,N760SK,2958,14107,PHX,"Phoenix, AZ",11695,FLG,"Flagstaff, AZ",1806,,,,,,,1857,,,1,B,0,N,51,,,1,119,,,,,,,,,
2019-02-21,AS,AS_CODESHARE,AS,3307,OO,N182SY,3307,14869,SLC,"Salt Lake City, UT",14057,PDX,"Portland, OR",2010,2027,17,39,2106,2142,7,2130,2149,19,0,,0,N,140,142,96,1,630,0,0,2,0,17,,,,
2019-02-21,AS,AS_CODESHARE,AS,3411,OO,N179SY,3411,14908,SNA,"Santa Ana, CA",14831,SJC,"San Jose, CA",1700,1657,-3,17,1714,1819,14,1825,1833,8,0,,0,N,85,96,65,1,342,,,,,,,,,
2019-02-21,AS,AS_CODESHARE,AS,3479,OO,N182SY,3479,14057,PDX,"Portland, OR",10713,BOI,"Boise, ID",2225,2233,8,10,2243,33,6,35,39,4,0,,0,N,70,66,50,1,344,,,,,,,,,
2019-02-21,DL,DL_CODESHARE,DL,3531,OO,N630SK,3531,11953,GNV,"Gainesville, FL",10397,ATL,"Atlanta, GA",1655,1712,17,19,1731,1828,15,1824,1843,19,0,,0,N,89,91,57,1,300,0,0,2,0,17,,,,
2019-02-21,DL,DL_CODESHARE,DL,3657,OO,N675BR,3657,13487,MSP,"Minneapolis, MN",11775,FSD,"Sioux Falls, SD",900,856,-4,38,934,1013,6,1028,1019,-9,0,,0,N,88,83,39,1,196,,,,,,,,,
2019-02-21,DL,DL_CODESHARE,DL,3688,OO,N291SY,3688,12953,LGA,"New York, NY",13342,MKE,"Milwaukee, WI",830,825,-5,21,846,953,4,1015,957,-18,0,,0,N,165,152,127,1,738,,,,,,,,,
2019-02-21,DL,DL_CODESHARE,DL,3812,OO,N274SY,3812,12953,LGA,"New York, NY",11995,GSO,"Greensboro/High Point, NC",847,846,-1,22,908,1037,3,1054,1040,-14,0,,0,N,127,114,89,1,461,,,,,,,,,
2019-02-21,DL,DL_CODESHARE,DL,3870,OO,N426SW,3870,11267,DAY,"Dayton, OH",13487,MSP,"Minneapolis, MN",1715,1708,-7,18,1726,1800,9,1830,1809,-21,0,,0,N,135,121,94,1,574,,,,,,,,,
2019-02-21,DL,DL_CODESHARE,DL,3888,OO,N829SK,3888,13487,MSP,"Minneapolis, MN",10620,BIL,"Billings, MT",1149,1144,-5,23,1207,1300,4,1320,1304,-16,0,,0,N,151,140,113,1,748,,,,,,,,,
2019-02-21,DL,DL_CODESHARE,DL,4005,OO,N873AS,4005,14574,ROA,"Roanoke, VA",10397,ATL,"Atlanta, GA",1400,1443,43,13,1456,1602,14,1539,1616,37,0,,0,N,99,93,66,1,357,0,0,0,0,37,,,,
2019-02-21,DL,DL_CODESHARE,DL,4038,OO,N244SY,4038,14747,SEA,"Seattle, WA",10713,BOI,"Boise, ID",2050,2048,-2,12,2100,2258,4,2317,2302,-15,0,,0,N,87,74,58,1,399,,,,,,,,,
2019-02-21,DL,DL_CODESHARE,DL,4133,OO,N625CA,4133,10397,ATL,"Atlanta, GA",10781,BTR,"Baton Rouge, LA",2225,2223,-2,21,2244,2255,3,2310,2258,-12,0,,0,N,105,95,71,1,448,,,,,,,,,
2019-02-21,DL,DL_CODESHARE,DL,4160,OO,N604SK,4160,10781,BTR,"Baton Rouge, LA",10397,ATL,"Atlanta, GA",600,559,-1,27,626,828,15,847,843,-4,0,,0,N,107,104,62,1,448,,,,,,,,,
2019-02-21,DL,DL_CODESHARE,DL,4163,OO,N8923A,4163,10397,ATL,"Atlanta, GA",15607,VLD,"Valdosta, GA",1000,1007,7,31,1038,1114,5,1120,1119,-1,0,,0,N,80,72,36,1,208,,,,,,,,,
2019-02-21,DL,DL_CODESHARE,DL,4290,OO,N910EV,4290,11433,DTW,"Detroit, MI",11823,FWA,"Fort Wayne, IN",1545,1608,23,15,1623,1700,4,1700,1704,4,0,,0,N,75,56,37,1,128,,,,,,,,,
2019-02-21,UA,UA_CODESHARE,UA,5097,OO,N905SW,5097,14952,SPI,"Springfield, IL",13930,ORD,"Chicago, IL",1535,1533,-2,12,1545,1621,8,1654,1629,-25,0,,0,N,79,56,36,1,174,,,,,,,,,
2019-02-21,UA,UA_CODESHARE,UA,5130,OO,N916SW,5130,11292,DEN,"Denver, CO",10558,BFF,"Scottsbluff, NE",2030,2022,-8,18,2040,2107,3,2124,2110,-14,0,,0,N,54,48,27,1,150,,,,,,,,,
2019-02-21,AA,AA,AA,146,AA,N950NN,146,10529,BDL,"Hartford, CT",13303,MIA,"Miami, FL",609,608,-1,40,648,939,5,934,944,10,0,,0,N,205,216,171,1,1194,,,,,,,,,
2019-02-21,UA,UA_CODESHARE,UA,5206,OO,N957SW,5206,10800,BUR,"Burbank, CA",11292,DEN,"Denver, CO",845,1041,116,14,1055,1345,5,1221,1350,89,0,,0,N,156,129,110,1,850,89,0,0,0,0,,,,
2019-02-21,UA,UA_CODESHARE,UA,5510,OO,N205SY,5510,12892,LAX,"Los Angeles, CA",14698,SBP,"San Luis Obispo, CA",2235,2228,-7,33,2301,2334,4,2338,2338,0,0,,0,N,63,70,33,1,156,,,,,,,,,
2019-02-21,UA,UA_CODESHARE,UA,5639,OO,N959SW,5639,11109,COS,"Colorado Springs, CO",13930,ORD,"Chicago, IL",655,738,43,34,812,1104,11,1043,1115,32,0,,0,N,168,157,112,1,911,32,0,0,0,0,,,,
2019-02-21,UA,UA_CODESHARE,UA,5737,OO,N904EV,5737,14698,SBP,"San Luis Obispo, CA",12892,LAX,"Los Angeles, CA",1655,1647,-8,31,1718,1802,17,1812,1819,7,0,,0,N,77,92,44,1,156,,,,,,,,,
2019-02-21,AA,AA,AA,58,AA,N130AN,58,12758,KOA,"Kona, HI",12892,LAX,"Los Angeles, CA",1358,1354,-4,11,1405,2056,29,2124,2125,1,0,,0,N,326,331,291,1,2504,,,,,,,,,
2019-02-21,AA,AA,AA,189,AA,N9029F,189,11503,EGE,"Eagle, CO",11298,DFW,"Dallas/Fort Worth, TX",808,801,-7,27,828,1112,14,1130,1126,-4,0,,0,N,142,145,104,1,721,,,,,,,,,
2019-02-21,AA,AA_CODESHARE,AA,4783,PT,N654AE,4783,10257,ALB,"Albany, NY",14100,PHL,"Philadelphia, PA",600,,,,,,,720,,,1,B,0,N,80,,,1,212,,,,,,,,,
2019-02-21,AA,AA_CODESHARE,AA,4806,PT,N632AE,4806,10792,BUF,"Buffalo, NY",14100,PHL,"Philadelphia, PA",1038,1104,26,15,1119,1209,7,1155,1216,21,0,,0,N,77,72,50,1,279,0,0,0,0,21,,,,
2019-02-21,WN,WN,WN,848,WN,N7848A,848,14869,SLC,"Salt Lake City, UT",10800,BUR,"Burbank, CA",850,850,0,12,902,934,2,950,936,-14,0,,0,N,120,106,92,1,574,,,,,,,,,
2019-02-21,WN,WN,WN,4223,WN,N7840A,4223,14893,SMF,"Sacramento, CA",12954,LGB,"Long Beach, CA",1535,1724,109,9,1733,1833,3,1700,1836,96,0,,0,N,85,72,60,1,387,11,0,0,0,85,,,,
2019-02-21,WN,WN,WN,1426,WN,N241WN,1426,14893,SMF,"Sacramento, CA",14679,SAN,"San Diego, CA",1905,1906,1,7,1913,2019,3,2030,2022,-8,0,,0,N,85,76,66,1,480,,,,,,,,,
2019-02-21,WN,WN,WN,1604,WN,N8699A,1604,14893,SMF,"Sacramento, CA",14747,SEA,"Seattle, WA",1105,1105,0,8,1113,1251,8,1255,1259,4,0,,0,N,110,114,98,1,605,,,,,,,,,
2019-02-21,WN,WN,WN,864,WN,N932WN,864,14893,SMF,"Sacramento, CA",14908,SNA,"Santa Ana, CA",1255,1254,-1,18,1312,1416,18,1415,1434,19,0,,0,N,80,100,64,1,404,0,0,19,0,0,,,,
2019-02-21,WN,WN,WN,410,WN,N969WN,410,14908,SNA,"Santa Ana, CA",12889,LAS,"Las Vegas, NV",1210,,,,,,,1325,,,1,A,0,N,75,,,1,226,,,,,,,,,
2019-02-21,DL,DL_CODESHARE,DL,5055,9E,N937XJ,5055,10721,BOS,"Boston, MA",12478,JFK,"New York, NY",905,925,20,120,1125,1213,14,1027,1227,120,0,,0,N,82,182,48,1,187,0,0,100,0,20,,,,
2019-02-21,AA,AA_CODESHARE,AA,5082,OH,N576NN,5082,14193,PNS,"Pensacola, FL",11278,DCA,"Washington, DC",608,623,15,11,634,914,5,921,919,-2,0,,0,N,133,116,100,1,816,,,,,,,,,
2019-02-21,AA,AA_CODESHARE,AA,5092,OH,N585NN,5092,11986,GRR,"Grand Rapids, MI",11057,CLT,"Charlotte, NC",629,629,0,16,645,824,37,841,901,20,0,,0,N,132,152,99,1,583,0,0,20,0,0,,,,
2019-02-21,AA,AA_CODESHARE,AA,5117,OH,N241PS,5117,11612,EVV,"Evansville, IN",11057,CLT,"Charlotte, NC",1106,1138,32,10,1148,1347,9,1350,1356,6,0,,0,N,104,78,59,1,414,,,,,,,,,
2019-02-21,AA,AA_CODESHARE,AA,5118,OH,N564NN,5118,11995,GSO,"Greensboro/High Point, NC",11057,CLT,"Charlotte, NC",935,1005,30,10,1015,1048,8,1051,1056,5,0,,0,N,76,51,33,1,83,,,,,,,,,
2019-02-21,AA,AA_CODESHARE,AA,5190,OH,N244PS,5190,14321,PWM,"Portland, ME",11278,DCA,"Washington, DC",1920,2047,87,10,2057,2227,3,2117,2230,73,0,,0,N,117,103,90,1,482,0,0,0,0,73,,,,
2019-02-21,AA,AA_CODESHARE,AA,5209,OH,N579NN,5209,11193,CVG,"Cincinnati, OH",11057,CLT,"Charlotte, NC",925,933,8,8,941,1046,13,1110,1059,-11,0,,0,N,105,86,65,1,335,,,,,,,,,
2019-02-21,NK,NK,NK,466,NK,N508NK,466,12889,LAS,"Las Vegas, NV",13495,MSY,"New Orleans, LA",905,,,,,,,1425,,,1,B,0,N,200,,,1,1500,,,,,,,,,
2019-02-21,NK,NK,NK,564,NK,N507NK,564,14679,SAN,"San Diego, CA",13930,ORD,"Chicago, IL",1345,1407,22,11,1418,1930,13,1948,1943,-5,0,,0,N,243,216,192,1,1723,,,,,,,,,
2019-02-21,AA,AA_CODESHARE,AA,5977,YV,N903FJ,5977,12191,HOU,"Houston, TX",11298,DFW,"Dallas/Fort Worth, TX",1626,2003,217,13,2016,2103,21,1745,2124,219,0,,0,N,79,81,47,1,247,3,0,2,0,214,,,,
2019-02-21,UA,UA_CODESHARE,UA,4185,EV,N16541,4185,11540,ELP,"El Paso, TX",12266,IAH,"Houston, TX",1220,1213,-7,14,1227,1459,11,1517,1510,-7,0,,0,N,117,117,92,1,667,,,,,,,,,
2019-02-21,AA,AA,AA,1014,AA,N878NN,1014,12892,LAX,"Los Angeles, CA",10423,AUS,"Austin, TX",1605,1601,-4,31,1632,2100,5,2059,2105,6,0,,0,N,174,184,148,1,1242,,,,,,,,,
2019-02-21,AA,AA_CODESHARE,AA,3626,MQ,N615AE,3626,13930,ORD,"Chicago, IL",14783,SGF,"Springfield, MO",2015,2015,0,15,2030,2209,13,2201,2222,21,0,,0,N,106,127,99,1,438,0,0,21,0,0,,,,
2019-02-21,AA,AA_CODESHARE,AA,3648,MQ,N622AE,3648,13930,ORD,"Chicago, IL",11823,FWA,"Fort Wayne, IN",1915,1912,-3,19,1931,2100,5,2113,2105,-8,0,,0,N,58,53,29,1,157,,,,,,,,,
2019-02-21,AA,AA_CODESHARE,AA,3663,MQ,N658AE,3663,15249,TLH,"Tallahassee, FL",13303,MIA,"Miami, FL",1036,1028,-8,12,1040,1143,5,1159,1148,-11,0,,0,N,83,80,63,1,402,,,,,,,,,
2019-02-21,AA,AA_CODESHARE,AA,3728,MQ,N838AE,3728,11057,CLT,"Charlotte, NC",12223,HTS,"Ashland, WV",1438,1444,6,25,1509,1550,3,1551,1553,2,0,,0,N,73,69,41,1,235,,,,,,,,,
2019-02-21,AA,AA_CODESHARE,AA,3770,MQ,N800AE,3770,12953,LGA,"New York, NY",14122,PIT,"Pittsburgh, PA",1247,1250,3,12,1302,1408,7,1428,1415,-13,0,,0,N,101,85,66,1,335,,,,,,,,,
2019-02-21,AA,AA_CODESHARE,AA,3804,MQ,N922AE,3804,13930,ORD,"Chicago, IL",11066,CMH,"Columbus, OH",1549,1547,-2,11,1558,1747,6,1803,1753,-10,0,,0,N,74,66,49,1,296,,,,,,,,,
2019-02-21,AA,AA_CODESHARE,AA,5845,YV,N935LR,5845,13891,ONT,"Ontario, CA",14107,PHX,"Phoenix, AZ",1930,1922,-8,12,1934,2137,6,2146,2143,-3,0,,0,N,76,81,63,1,325,,,,,,,,,
2019-02-21,AA,AA_CODESHARE,AA,4538,YX,N120HQ,4538,12339,IND,"Indianapolis, IN",11057,CLT,"Charlotte, NC",1353,1404,11,14,1418,1529,10,1530,1539,9,0,,0,N,97,95,71,1,427,,,,,,,,,
